r(C-OH)	r(c-Cl)	HoF(kcal/mol)
1.5	1.95	-8.297159
1.5	2	-14.432034
1.5	2.05	-19.535392
1.5	2.1	-23.735693
1.5	2.15	-27.153661
1.5	2.2	-29.902349
1.5	2.25	-32.086197
1.5	2.3	-33.799802
1.5	2.35	-35.126902
1.5	2.4	-36.139885
1.5	2.45	-36.899904
1.5	2.5	-37.457545
1.5	2.55	-37.853913
1.5	2.6	-38.121932
1.5	2.65	-38.287729
1.5	2.7	-38.371939
1.5	2.75	-38.390878
1.5	2.8	-38.357514
1.5	2.85	-38.282256
1.5	2.9	-38.17356
1.5	2.95	-38.038384
1.5	3	-37.882528
1.55	3	-42.159336
1.55	2.95	-42.345608
1.55	2.9	-42.51464
1.55	2.85	-42.66116
1.55	2.8	-42.778794
1.55	2.75	-42.859732
1.55	2.7	-42.894266
1.55	2.65	-42.870181
1.55	2.6	-42.771959
1.55	2.55	-42.579797
1.55	2.5	-42.268425
1.55	2.45	-41.80578
1.55	2.4	-41.151609
1.55	2.35	-40.25613
1.55	2.3	-39.058927
1.55	2.25	-37.488236
1.55	2.2	-35.460794
1.55	2.15	-32.882287
1.55	2.1	-29.648319
1.55	2.05	-25.645612
1.55	2	-20.752903
1.55	1.95	-14.840853
1.55	1.9	-7.770154
1.55	1.85	0.613202
1.55	1.8	10.48548
1.55	1.75	22.056683
1.55	1.7	35.585088
1.55	1.65	51.394331
1.55	1.6	69.891801
1.55	1.55	91.58686
1.55	1.5	117.10738
1.6	1.5	109.946624
1.6	1.55	84.664455
1.6	1.6	63.220344
1.6	1.65	44.982262
1.6	1.7	29.437023
1.6	1.75	16.17375
1.6	1.8	4.865675
1.6	1.85	-4.748245
1.6	1.9	-12.880404
1.6	1.95	-19.709076
1.6	2	-25.389911
1.6	2.05	-30.063486
1.6	2.1	-33.860062
1.6	2.15	-36.901497
1.6	2.2	-39.301366
1.6	2.25	-41.164093
1.6	2.3	-42.583791
1.6	2.35	-43.643328
1.6	2.4	-44.413912
1.6	2.45	-44.955289
1.6	2.5	-45.316477
1.6	2.55	-45.536909
1.6	2.6	-45.647794
1.6	2.65	-45.673537
1.6	2.7	-45.633085
1.6	2.75	-45.541124
1.6	2.8	-45.409074
1.6	2.85	-45.245898
1.6	2.9	-45.058718
1.6	2.95	-44.853281
1.6	3	-44.634294
1.65	3	-45.698264
1.65	2.95	-45.952138
1.65	2.9	-46.196397
1.65	2.85	-46.426928
1.65	2.8	-46.638649
1.65	2.75	-46.825161
1.65	2.7	-46.978282
1.65	2.65	-47.087415
1.65	2.6	-47.138732
1.65	2.55	-47.114156
1.65	2.5	-46.990144
1.65	2.45	-46.736323
1.65	2.4	-46.314042
1.65	2.35	-45.674987
1.65	2.3	-44.760015
1.65	2.25	-43.498385
1.65	2.2	-41.807536
1.65	2.15	-39.593467
1.65	2.1	-36.751643
1.65	2.05	-33.168123
1.65	2	-28.720399
1.65	1.95	-23.27725
1.65	1.9	-16.696818
1.65	1.85	-8.821822
1.65	1.8	0.52799
1.65	1.75	11.567342
1.65	1.7	24.559958
1.65	1.65	39.83563
1.65	1.6	57.808587
1.65	1.55	78.995684
1.65	1.5	104.03292
1.7	1.5	99.103226
1.7	1.55	74.315106
1.7	1.6	53.388574
1.7	1.65	35.683899
1.7	1.7	20.680762
1.7	1.75	7.961755
1.7	1.8	-2.805795
1.7	1.85	-11.888181
1.7	1.9	-19.50238
1.7	1.95	-25.830568
1.7	2	-31.031634
1.7	2.05	-35.248725
1.7	2.1	-38.614048
1.7	2.15	-41.250812
1.7	2.2	-43.273397
1.7	2.25	-44.786535
1.7	2.3	-45.884205
1.7	2.35	-46.648759
1.7	2.4	-47.150559
1.7	2.45	-47.448228
1.7	2.5	-47.589441
1.7	2.55	-47.612112
1.7	2.6	-47.545812
1.7	2.65	-47.413234
1.7	2.7	-47.231585
1.7	2.75	-47.013826
1.7	2.8	-46.769712
1.7	2.85	-46.506621
1.7	2.9	-46.230201
1.7	2.95	-45.944846
1.7	3	-45.654046
1.75	3	-44.731142
1.75	2.95	-45.06077
1.75	2.9	-45.389346
1.75	2.85	-45.714023
1.75	2.8	-46.031113
1.75	2.75	-46.335736
1.75	2.7	-46.621326
1.75	2.65	-46.878974
1.75	2.6	-47.096581
1.75	2.55	-47.257793
1.75	2.5	-47.340738
1.75	2.45	-47.316608
1.75	2.4	-47.148166
1.75	2.35	-46.788306
1.75	2.3	-46.178845
1.75	2.25	-45.249705
1.75	2.2	-43.918651
1.75	2.15	-42.091631
1.75	2.1	-39.663634
1.75	2.05	-36.519773
1.75	2	-32.536092
1.75	1.95	-27.57937
1.75	1.9	-21.505176
1.75	1.85	-14.153043
1.75	1.8	-5.338931
1.75	1.75	5.156291
1.75	1.7	17.601359
1.75	1.65	32.331667
1.75	1.6	49.7676
1.75	1.55	70.432706
1.75	1.5	94.970162
1.8	1.5	91.504633
1.8	1.55	67.21669
1.8	1.6	46.811187
1.8	1.65	29.641796
1.8	1.7	15.182004
1.8	1.75	3.008658
1.8	1.8	-7.216182
1.8	1.85	-15.763556
1.8	1.9	-22.854653
1.8	1.95	-28.675307
1.8	2	-33.387527
1.8	2.05	-37.137023
1.8	2.1	-40.058046
1.8	2.15	-42.275348
1.8	2.2	-43.904383
1.8	2.25	-45.050519
1.8	2.3	-45.807967
1.8	2.35	-46.258933
1.8	2.4	-46.473295
1.8	2.45	-46.50888
1.8	2.5	-46.412299
1.8	2.55	-46.220175
1.8	2.6	-45.960607
1.8	2.65	-45.654689
1.8	2.7	-45.317953
1.8	2.75	-44.96166
1.8	2.8	-44.593884
1.8	2.85	-44.220381
1.8	2.9	-43.845265
1.8	2.95	-43.471505
1.8	3	-43.101292
1.85	3	-40.893606
1.85	2.95	-41.306007
1.85	2.9	-41.726739
1.85	2.85	-42.154276
1.85	2.8	-42.586361
1.85	2.75	-43.019643
1.85	2.7	-43.449155
1.85	2.65	-43.867631
1.85	2.6	-44.264612
1.85	2.55	-44.625338
1.85	2.5	-44.929439
1.85	2.45	-45.14946
1.85	2.4	-45.249323
1.85	2.35	-45.182839
1.85	2.3	-44.892459
1.85	2.25	-44.308428
1.85	2.2	-43.348489
1.85	2.15	-41.918199
1.85	2.1	-39.911768
1.85	2.05	-37.213118
1.85	2	-33.696665
1.85	1.95	-29.22711
1.85	1.9	-23.657471
1.85	1.85	-16.824235
1.85	1.8	-8.539841
1.85	1.75	1.418852
1.85	1.7	13.325055
1.85	1.65	27.519074
1.85	1.6	44.426612
1.85	1.55	64.576889
1.85	1.5	88.619067
1.9	1.5	86.252461
1.9	1.55	62.44992
1.9	1.6	42.548188
1.9	1.65	25.895578
1.9	1.7	11.960423
1.9	1.75	0.314684
1.9	1.8	-9.384141
1.9	1.85	-17.411295
1.9	1.9	-23.991774
1.9	1.95	-29.314801
1.9	2	-33.54536
1.9	2.05	-36.831692
1.9	2.1	-39.31016
1.9	2.15	-41.107211
1.9	2.2	-42.33959
1.9	2.25	-43.113565
1.9	2.3	-43.523869
1.9	2.35	-43.652874
1.9	2.4	-43.570284
1.9	2.45	-43.333437
1.9	2.5	-42.988171
1.9	2.55	-42.570095
1.9	2.6	-42.106088
1.9	2.65	-41.615864
1.9	2.7	-41.11347
1.9	2.75	-40.608614
1.9	2.8	-40.107798
1.9	2.85	-39.615226
1.9	2.9	-39.133513
1.9	2.95	-38.664208
1.9	3	-38.208181
1.95	3	-35.127298
1.95	2.95	-35.628218
1.95	2.9	-36.147489
1.95	2.85	-36.684893
1.95	2.8	-37.239561
1.95	2.75	-37.809589
1.95	2.7	-38.391488
1.95	2.65	-38.979472
1.95	2.6	-39.564518
1.95	2.55	-40.133227
1.95	2.5	-40.666465
1.95	2.45	-41.137854
1.95	2.4	-41.512186
1.95	2.35	-41.743902
1.95	2.3	-41.77581
1.95	2.25	-41.538203
1.95	2.2	-40.948544
1.95	2.15	-39.911761
1.95	2.1	-38.321068
1.95	2.05	-36.059022
1.95	2	-32.998289
1.95	1.95	-29.001437
1.95	1.9	-23.918969
1.95	1.85	-17.584466
1.95	1.8	-9.807104
1.95	1.75	-0.360123
1.95	1.7	11.033627
1.95	1.65	24.718679
1.95	1.6	41.1252
1.95	1.55	60.787056
1.95	1.5	84.358164
2	1.5	82.894912
2	1.55	59.545317
2	1.6	40.113037
2	1.65	23.942203
2	1.7	10.496986
2	1.75	-0.654717
2	1.8	-9.859315
2	1.85	-17.39575
2	1.9	-23.49246
2	1.95	-28.341816
2	2	-32.111647
2	2.05	-34.952688
2	2.1	-37.003449
2	2.15	-38.392161
2	2.2	-39.23699
2	2.25	-39.645265
2	2.3	-39.712428
2	2.35	-39.521222
2	2.4	-39.141403
2	2.45	-38.630076
2	2.5	-38.03258
2	2.55	-37.383795
2	2.6	-36.709673
2	2.65	-36.028841
2	2.7	-35.354127
2	2.75	-34.693934
2	2.8	-34.053398
2	2.85	-33.435339
2	2.9	-32.840996
2	2.95	-32.270582
2	3	-31.723691
2.05	3	-28.065775
2.05	2.95	-28.65952
2.05	2.9	-29.282015
2.05	2.85	-29.934266
2.05	2.8	-30.616673
2.05	2.75	-31.328616
2.05	2.7	-32.067885
2.05	2.65	-32.829928
2.05	2.6	-33.606891
2.05	2.55	-34.386442
2.05	2.5	-35.150387
2.05	2.45	-35.873127
2.05	2.4	-36.520047
2.05	2.35	-37.045968
2.05	2.3	-37.393827
2.05	2.25	-37.493777
2.05	2.2	-37.262839
2.05	2.15	-36.60518
2.05	2.1	-35.41291
2.05	2.05	-33.567132
2.05	2	-30.938711
2.05	1.95	-27.388066
2.05	1.9	-22.763231
2.05	1.85	-16.895
2.05	1.8	-9.589504
2.05	1.75	-0.6167
2.05	1.7	10.304036
2.05	1.65	23.52085
2.05	1.6	39.467601
2.05	1.55	58.681865
2.05	1.5	81.821207
2.1	1.5	81.092677
2.1	1.55	58.151372
2.1	1.6	39.142666
2.1	1.65	23.407535
2.1	1.7	10.406856
2.1	1.75	-0.294824
2.1	1.8	-9.047256
2.1	1.85	-16.132651
2.1	1.9	-21.782586
2.1	1.95	-26.192382
2.1	2	-29.532593
2.1	2.05	-31.956398
2.1	2.1	-33.60444
2.1	2.15	-34.606756
2.1	2.2	-35.082976
2.1	2.25	-35.141558
2.1	2.3	-34.878742
2.1	2.35	-34.377767
2.1	2.4	-33.708602
2.1	2.45	-32.92831
2.1	2.5	-32.081962
2.1	2.55	-31.203968
2.1	2.6	-30.319638
2.1	2.65	-29.446804
2.1	2.7	-28.597373
2.1	2.75	-27.778722
2.1	2.8	-26.994883
2.1	2.85	-26.247521
2.1	2.9	-25.536692
2.1	2.95	-24.861425
2.1	3	-24.220153
2.15	3	-20.25197
2.15	2.95	-20.941226
2.15	2.9	-21.669695
2.15	2.85	-22.439466
2.15	2.8	-23.252029
2.15	2.75	-24.107835
2.15	2.7	-25.005706
2.15	2.65	-25.942061
2.15	2.6	-26.909931
2.15	2.55	-27.89777
2.15	2.5	-28.888044
2.15	2.45	-29.855675
2.15	2.4	-30.766406
2.15	2.35	-31.575228
2.15	2.3	-32.225043
2.15	2.25	-32.645731
2.15	2.2	-32.753776
2.15	2.15	-32.452517
2.15	2.1	-31.632927
2.15	2.05	-30.174645
2.15	2	-27.946741
2.15	1.95	-24.807523
2.15	1.9	-20.602623
2.15	1.85	-15.160173
2.15	1.8	-8.283444
2.15	1.75	0.260609
2.15	1.7	10.755691
2.15	1.65	23.55304
2.15	1.6	39.089553
2.15	1.55	57.905717
2.15	1.5	80.661803
2.2	1.5	80.479214
2.2	1.55	57.895253
2.2	1.6	39.258359
2.2	1.65	23.907206
2.2	1.7	11.300107
2.2	1.75	0.998862
2.2	1.8	-7.34914
2.2	1.85	-14.029014
2.2	1.9	-19.275205
2.2	1.95	-23.285796
2.2	2	-26.233936
2.2	2.05	-28.275157
2.2	2.1	-29.552178
2.2	2.15	-30.19681
2.2	2.2	-30.33014
2.2	2.25	-30.061768
2.2	2.3	-29.488783
2.2	2.35	-28.694995
2.2	2.4	-27.7507
2.2	2.45	-26.713063
2.2	2.5	-25.627067
2.2	2.55	-24.526862
2.2	2.6	-23.437344
2.2	2.65	-22.375802
2.2	2.7	-21.353486
2.2	2.75	-20.377012
2.2	2.8	-19.449574
2.2	2.85	-18.571924
2.2	2.9	-17.74316
2.2	2.95	-16.961326
2.2	3	-16.223856
2.25	3	-12.194175
2.25	2.95	-12.97986
2.25	2.9	-13.814952
2.25	2.85	-14.702447
2.25	2.8	-15.644717
2.25	2.75	-16.643061
2.25	2.7	-17.697092
2.25	2.65	-18.803953
2.25	2.6	-19.957322
2.25	2.55	-21.146197
2.25	2.5	-22.35349
2.25	2.45	-23.554438
2.25	2.4	-24.714965
2.25	2.35	-25.790081
2.25	2.3	-26.722526
2.25	2.25	-27.441807
2.25	2.2	-27.863805
2.25	2.15	-27.890992
2.25	2.1	-27.413192
2.25	2.05	-26.308599
2.25	2	-24.444534
2.25	1.95	-21.67727
2.25	1.9	-17.850141
2.25	1.85	-12.788763
2.25	1.8	-6.293754
2.25	1.75	1.870666
2.25	1.7	11.990926
2.25	1.65	24.420903
2.25	1.6	39.59997
2.25	1.55	58.070859
2.25	1.5	80.495784
2.3	1.5	80.664863
2.3	1.55	58.386131
2.3	1.6	40.068204
2.3	1.65	25.048136
2.3	1.7	12.782289
2.3	1.75	2.830245
2.3	1.8	-5.163027
2.3	1.85	-11.48518
2.3	1.9	-16.373246
2.3	1.95	-20.027846
2.3	2	-22.624556
2.3	2.05	-24.321137
2.3	2.1	-25.262304
2.3	2.15	-25.581591
2.3	2.2	-25.401523
2.3	2.25	-24.832856
2.3	2.3	-23.973566
2.3	2.35	-22.908098
2.3	2.4	-21.70716
2.3	2.45	-20.428132
2.3	2.5	-19.116037
2.3	2.55	-17.804913
2.3	2.6	-16.519417
2.3	2.65	-15.276482
2.3	2.7	-14.0869
2.3	2.75	-12.956746
2.3	2.8	-11.888592
2.3	2.85	-10.882506
2.3	2.9	-9.936845
2.3	2.95	-9.04887
2.3	3	-8.215204
2.35	3	-4.331662
2.35	2.95	-5.212847
2.35	2.9	-6.153068
2.35	2.85	-7.156039
2.35	2.8	-8.224822
2.35	2.75	-9.361358
2.35	2.7	-10.565852
2.35	2.65	-11.835977
2.35	2.6	-13.16587
2.35	2.55	-14.544908
2.35	2.5	-15.956285
2.35	2.45	-17.37542
2.35	2.4	-18.768289
2.35	2.35	-20.089811
2.35	2.3	-21.282468
2.35	2.25	-22.275317
2.35	2.2	-22.983571
2.35	2.15	-23.308793
2.35	2.1	-23.13964
2.35	2.05	-22.352869
2.35	2	-20.8141
2.35	1.95	-18.377651
2.35	1.9	-14.884698
2.35	1.85	-10.158528
2.35	1.8	-3.99735
2.35	1.75	3.837035
2.35	1.7	13.633404
2.35	1.65	25.747822
2.35	1.6	40.621628
2.35	1.55	58.799233
2.35	1.5	80.94418
2.4	1.5	81.297153
2.4	1.55	59.274167
2.4	1.6	41.224784
2.4	1.65	26.484981
2.4	1.7	14.509705
2.4	1.75	4.856826
2.4	1.8	-2.830641
2.4	1.85	-8.84248
2.4	1.9	-13.417964
2.4	1.95	-16.759977
2.4	2	-19.046315
2.4	2.05	-20.436829
2.4	2.1	-21.078146
2.4	2.15	-21.105488
2.4	2.2	-20.642819
2.4	2.25	-19.802081
2.4	2.3	-18.682183
2.4	2.35	-17.368272
2.4	2.4	-15.931542
2.4	2.45	-14.429671
2.4	2.5	-12.907814
2.4	2.55	-11.400003
2.4	2.6	-9.930768
2.4	2.65	-8.516813
2.4	2.7	-7.168616
2.4	2.75	-5.891862
2.4	2.8	-4.68867
2.4	2.85	-3.558595
2.4	2.9	-2.499437
2.4	2.95	-1.507855
2.4	3	-0.579836
2.45	3	3.012637
2.45	2.95	2.038682
2.45	2.9	0.996853
2.45	2.85	-0.117124
2.45	2.8	-1.306835
2.45	2.75	-2.574707
2.45	2.7	-3.92139
2.45	2.65	-5.344949
2.45	2.6	-6.839853
2.45	2.55	-8.395744
2.45	2.5	-9.996002
2.45	2.45	-11.616128
2.45	2.4	-13.222067
2.45	2.35	-14.768571
2.45	2.3	-16.197785
2.45	2.25	-17.438248
2.45	2.2	-18.404437
2.45	2.15	-18.996953
2.45	2.1	-19.103244
2.45	2.05	-18.598617
2.45	2	-17.347013
2.45	1.95	-15.200876
2.45	1.9	-11.999365
2.45	1.85	-7.563662
2.45	1.8	-1.689871
2.45	1.75	5.862249
2.45	1.7	15.383375
2.45	1.65	27.231278
2.45	1.6	41.848751
2.45	1.55	59.781372
2.45	1.5	81.693529
2.5	1.5	82.109409
2.5	1.55	60.297712
2.5	1.6	42.471114
2.5	1.65	27.964958
2.5	1.7	16.233259
2.5	1.75	6.83269
2.5	1.8	-0.595174
2.5	1.85	-6.341779
2.5	1.9	-10.648221
2.5	1.95	-13.71932
2.5	2	-15.734853
2.5	2.05	-16.856614
2.5	2.1	-17.233067
2.5	2.15	-17.001107
2.5	2.2	-16.286167
2.5	2.25	-15.201423
2.5	2.3	-13.846784
2.5	2.35	-12.308162
2.5	2.4	-10.657306
2.5	2.45	-8.952261
2.5	2.5	-7.238383
2.5	2.55	-5.549767
2.5	2.6	-3.910891
2.5	2.65	-2.338312
2.5	2.7	-0.842282
2.5	2.75	0.571802
2.5	2.8	1.902167
2.5	2.85	3.149643
2.5	2.9	4.316858
2.5	2.95	5.407614
2.5	3	6.426412
2.55	3	9.649629
2.55	2.95	8.587255
2.55	2.9	7.449075
2.55	2.85	6.230384
2.55	2.8	4.92719
2.55	2.75	3.536685
2.55	2.7	2.057877
2.55	2.65	0.492397
2.55	2.6	-1.15448
2.55	2.55	-2.872592
2.55	2.5	-4.645436
2.55	2.45	-6.44854
2.55	2.4	-8.247759
2.55	2.35	-9.997615
2.55	2.3	-11.639858
2.55	2.25	-13.102439
2.55	2.2	-14.29903
2.55	2.15	-15.129199
2.55	2.1	-15.479126
2.55	2.05	-15.22263
2.55	2	-14.22198
2.55	1.95	-12.32782
2.55	1.9	-9.377447
2.55	1.85	-5.190195
2.55	1.8	0.439587
2.55	1.75	7.753737
2.55	1.7	17.044335
2.55	1.65	28.67033
2.55	1.6	43.075461
2.55	1.55	60.806008
2.55	1.5	82.52681
2.6	1.5	82.93292
2.6	1.55	61.294266
2.6	1.6	43.650596
2.6	1.65	29.336963
2.6	1.7	17.806888
2.6	1.75	8.616341
2.6	1.8	1.405977
2.6	1.85	-4.116795
2.6	1.9	-8.194434
2.6	1.95	-11.033319
2.6	2	-12.814932
2.6	2.05	-13.702837
2.6	2.1	-13.847262
2.6	2.15	-13.386768
2.6	2.2	-12.448301
2.6	2.25	-11.146338
2.6	2.3	-9.581861
2.6	2.35	-7.841628
2.6	2.4	-5.998008
2.6	2.45	-4.10947
2.6	2.5	-2.221625
2.6	2.55	-0.36868
2.6	2.6	1.424893
2.6	2.65	3.142634
2.6	2.7	4.774461
2.6	2.75	6.315209
2.6	2.8	7.763377
2.6	2.85	9.120105
2.6	2.9	10.388362
2.6	2.95	11.572313
2.6	3	12.676844
2.65	3	15.507836
2.65	2.95	14.362696
2.65	2.9	13.134751
2.65	2.85	11.818951
2.65	2.8	10.410975
2.65	2.75	8.907706
2.65	2.7	7.307867
2.65	2.65	5.612836
2.65	2.6	3.827681
2.65	2.55	1.962409
2.65	2.5	0.033442
2.65	2.45	-1.934737
2.65	2.4	-3.907853
2.65	2.35	-5.84015
2.65	2.3	-7.672928
2.65	2.25	-9.333478
2.65	2.2	-10.734593
2.65	2.15	-11.77472
2.65	2.1	-12.3387
2.65	2.05	-12.298817
2.65	2	-11.515678
2.65	1.95	-9.838216
2.65	1.9	-7.102058
2.65	1.85	-3.12499
2.65	1.8	2.29999
2.65	1.75	9.415846
2.65	1.7	18.515553
2.65	1.65	29.958734
2.65	1.6	44.189609
2.65	1.55	61.75477
2.65	1.5	83.319209
2.7	1.5	83.680531
2.7	1.55	62.183166
2.7	1.6	44.688947
2.7	1.65	30.532885
2.7	1.7	19.168344
2.7	1.75	10.151002
2.7	1.8	3.121061
2.7	1.85	-2.214723
2.7	1.9	-6.099704
2.7	1.95	-8.741399
2.7	2	-10.322662
2.7	2.05	-11.008609
2.7	2.1	-10.951116
2.7	2.15	-10.290394
2.7	2.2	-9.154941
2.7	2.25	-7.660619
2.7	2.3	-5.909574
2.7	2.35	-3.989487
2.7	2.4	-1.973423
2.7	2.45	0.079671
2.7	2.5	2.123887
2.7	2.55	4.124872
2.7	2.6	6.058129
2.7	2.65	7.907269
2.7	2.7	9.662351
2.7	2.75	11.318404
2.7	2.8	12.874164
2.7	2.85	14.331035
2.7	2.9	15.692272
2.7	2.95	16.962342
2.7	3	18.146445
2.75	3	20.599487
2.75	2.95	19.378143
2.75	2.9	18.067882
2.75	2.85	16.663364
2.75	2.8	15.159988
2.75	2.75	13.554367
2.75	2.7	11.844976
2.75	2.65	10.032969
2.75	2.6	8.123228
2.75	2.55	6.125627
2.75	2.5	4.056525
2.75	2.45	1.94044
2.75	2.4	-0.188196
2.75	2.35	-2.283311
2.75	2.3	-4.285697
2.75	2.25	-6.121915
2.75	2.2	-7.703786
2.75	2.15	-8.928543
2.75	2.1	-9.679602
2.75	2.05	-9.827677
2.75	2	-9.231753
2.75	1.95	-7.739191
2.75	1.9	-5.184209
2.75	1.85	-1.383407
2.75	1.8	3.871138
2.75	1.75	10.823056
2.75	1.7	19.765762
2.75	1.65	31.059142
2.75	1.6	45.147551
2.75	1.55	62.577618
2.75	1.5	84.014295
2.8	1.5	84.319752
2.8	1.55	62.938089
2.8	1.6	45.566125
2.8	1.65	31.538967
2.8	1.7	20.310027
2.8	1.75	11.434969
2.8	1.8	4.553884
2.8	1.85	-0.626728
2.8	1.9	-4.350675
2.8	1.95	-6.826177
2.8	2	-8.237077
2.8	2.05	-8.74974
2.8	2.1	-8.517509
2.8	2.15	-7.682177
2.8	2.2	-6.373823
2.8	2.25	-4.709772
2.8	2.3	-2.793439
2.8	2.35	-0.713528
2.8	2.4	1.456127
2.8	2.45	3.656044
2.8	2.5	5.83998
2.8	2.55	7.973416
2.8	2.6	10.031815
2.8	2.65	11.998846
2.8	2.7	13.864697
2.8	2.75	15.624578
2.8	2.8	17.277439
2.8	2.85	18.824923
2.8	2.9	20.27054
2.8	2.95	21.619021
2.8	3	22.875838
2.85	3	24.985661
2.85	2.95	23.695166
2.85	2.9	22.310448
2.85	2.85	20.825912
2.85	2.8	19.236703
2.85	2.75	17.539192
2.85	2.7	15.731621
2.85	2.65	13.814936
2.85	2.6	11.79384
2.85	2.55	9.67808
2.85	2.5	7.483959
2.85	2.45	5.236033
2.85	2.4	2.968911
2.85	2.35	0.729014
2.85	2.3	-1.423888
2.85	2.25	-3.415543
2.85	2.2	-5.156693
2.85	2.15	-6.54325
2.85	2.1	-7.457124
2.85	2.05	-7.767451
2.85	2	-7.331694
2.85	1.95	-5.995877
2.85	1.9	-3.593143
2.85	1.85	0.060685
2.85	1.8	5.174025
2.85	1.75	11.990777
2.85	1.7	20.804457
2.85	1.65	31.974948
2.85	1.6	45.946537
2.85	1.55	63.265753
2.85	1.5	84.597418
2.9	1.5	84.848629
2.9	1.55	63.562548
2.9	1.6	46.291365
2.9	1.65	32.370329
2.9	1.7	21.252977
2.9	1.75	12.49509
2.9	1.8	5.736841
2.9	1.85	0.684744
2.9	1.9	-2.905119
2.9	1.95	-5.241274
2.9	2	-6.508131
2.9	2.05	-6.872934
2.9	2.1	-6.490214
2.9	2.15	-5.5032
2.9	2.2	-4.043533
2.9	2.25	-2.230078
2.9	2.3	-0.16763
2.9	2.35	2.053969
2.9	2.4	4.360026
2.9	2.45	6.690467
2.9	2.5	8.998686
2.9	2.55	11.249987
2.9	2.6	13.419792
2.9	2.65	15.491829
2.9	2.7	17.456419
2.9	2.75	19.308946
2.9	2.8	21.048569
2.9	2.85	22.677156
2.9	2.9	24.198454
2.9	2.95	25.617435
2.9	3	26.939812
2.95	3	28.749372
2.95	2.95	27.396892
2.95	2.9	25.945593
2.95	2.85	24.389652
2.95	2.8	22.723979
2.95	2.75	20.944717
2.95	2.7	19.049886
2.95	2.65	17.040225
2.95	2.6	14.920257
2.95	2.55	12.699596
2.95	2.5	10.394476
2.95	2.45	8.029491
2.95	2.4	5.639428
